Age,Gender,Education Level,Job Title,Years of Experience,Salary,Age_Experience_Ratio,Experience_Squared,Age_Squared,Age_Experience
32.0,Male,Bachelor's,Software Engineer,5.0,90000.0,5.333333333333333,25.0,1024.0,160.0
28.0,Female,Master's,Data Analyst,3.0,65000.0,7.0,9.0,784.0,84.0
45.0,Male,PhD,Senior Manager,15.0,150000.0,2.8125,225.0,2025.0,675.0
36.0,Female,Bachelor's,Sales Associate,7.0,60000.0,4.5,49.0,1296.0,252.0
52.0,Male,Master's,Director,20.0,200000.0,2.4761904761904763,400.0,2704.0,1040.0
29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0,9.666666666666666,4.0,841.0,58.0
42.0,Female,Master's,Product Manager,12.0,120000.0,3.230769230769231,144.0,1764.0,504.0
31.0,Male,Bachelor's,Sales Manager,4.0,80000.0,6.2,16.0,961.0,124.0
26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0,13.0,1.0,676.0,26.0
38.0,Male,PhD,Senior Scientist,10.0,110000.0,3.4545454545454546,100.0,1444.0,380.0
29.0,Male,Master's,Software Developer,3.0,75000.0,7.25,9.0,841.0,87.0
48.0,Female,Bachelor's,HR Manager,18.0,140000.0,2.526315789473684,324.0,2304.0,864.0
35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0,5.0,36.0,1225.0,210.0
40.0,Female,Master's,Project Manager,14.0,130000.0,2.6666666666666665,196.0,1600.0,560.0
27.0,Male,Bachelor's,Customer Service Rep,2.0,40000.0,9.0,4.0,729.0,54.0
44.0,Male,Bachelor's,Operations Manager,16.0,125000.0,2.588235294117647,256.0,1936.0,704.0
33.0,Female,Master's,Marketing Manager,7.0,90000.0,4.125,49.0,1089.0,231.0
39.0,Male,PhD,Senior Engineer,12.0,115000.0,3.0,144.0,1521.0,468.0
25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0,25.0,0.0,625.0,0.0
51.0,Male,Bachelor's,Sales Director,22.0,180000.0,2.217391304347826,484.0,2601.0,1122.0
34.0,Female,Master's,Business Analyst,5.0,80000.0,5.666666666666667,25.0,1156.0,170.0
47.0,Male,Master's,VP of Operations,19.0,190000.0,2.35,361.0,2209.0,893.0
30.0,Male,Bachelor's,IT Support,2.0,50000.0,10.0,4.0,900.0,60.0
36.0,Female,Bachelor's,Recruiter,9.0,60000.0,3.6,81.0,1296.0,324.0
41.0,Male,Master's,Financial Manager,13.0,140000.0,2.9285714285714284,169.0,1681.0,533.0
28.0,Female,Bachelor's,Social Media Specialist,3.0,45000.0,7.0,9.0,784.0,84.0
37.0,Female,Master's,Software Manager,11.0,110000.0,3.0833333333333335,121.0,1369.0,407.0
24.0,Male,Bachelor's,Junior Developer,1.0,40000.0,12.0,1.0,576.0,24.0
43.0,Female,PhD,Senior Consultant,15.0,140000.0,2.6875,225.0,1849.0,645.0
33.0,Male,Master's,Product Designer,6.0,90000.0,4.714285714285714,36.0,1089.0,198.0
50.0,Male,Bachelor's,CEO,25.0,250000.0,1.9230769230769231,625.0,2500.0,1250.0
31.0,Female,Bachelor's,Accountant,4.0,55000.0,6.2,16.0,961.0,124.0
29.0,Male,Master's,Data Scientist,3.0,75000.0,7.25,9.0,841.0,87.0
39.0,Female,Bachelor's,Marketing Specialist,10.0,65000.0,3.5454545454545454,100.0,1521.0,390.0
46.0,Male,PhD,Senior Manager,20.0,170000.0,2.1904761904761907,400.0,2116.0,920.0
27.0,Male,Bachelor's,Technical Writer,2.0,45000.0,9.0,4.0,729.0,54.0
35.0,Female,Bachelor's,HR Generalist,7.0,60000.0,4.375,49.0,1225.0,245.0
42.0,Male,Master's,Project Engineer,14.0,115000.0,2.8,196.0,1764.0,588.0
26.0,Female,Bachelor's,Customer Success Rep,1.0,40000.0,13.0,1.0,676.0,26.0
49.0,Male,Bachelor's,Sales Executive,21.0,160000.0,2.227272727272727,441.0,2401.0,1029.0
34.0,Female,Master's,UX Designer,5.0,80000.0,5.666666666666667,25.0,1156.0,170.0
48.0,Male,Master's,Operations Director,18.0,190000.0,2.526315789473684,324.0,2304.0,864.0
30.0,Male,Bachelor's,Network Engineer,3.0,60000.0,7.5,9.0,900.0,90.0
36.0,Female,Bachelor's,Administrative Assistant,8.0,45000.0,4.0,64.0,1296.0,288.0
41.0,Male,Master's,Strategy Consultant,13.0,130000.0,2.9285714285714284,169.0,1681.0,533.0
28.0,Female,Bachelor's,Copywriter,2.0,40000.0,9.333333333333334,4.0,784.0,56.0
32.0,Male,Bachelor's,Account Manager,5.0,75000.0,5.333333333333333,25.0,1024.0,160.0
45.0,Female,Master's,Director of Marketing,16.0,180000.0,2.6470588235294117,256.0,2025.0,720.0
38.0,Male,PhD,Senior Scientist,11.0,120000.0,3.1666666666666665,121.0,1444.0,418.0
25.0,Male,Bachelor's,Help Desk Analyst,0.0,35000.0,25.0,0.0,625.0,0.0
51.0,Female,Bachelor's,Customer Service Manager,22.0,130000.0,2.217391304347826,484.0,2601.0,1122.0
33.0,Male,Master's,Business Intelligence Analyst,7.0,85000.0,4.125,49.0,1089.0,231.0
40.0,Female,Bachelor's,Event Coordinator,12.0,60000.0,3.076923076923077,144.0,1600.0,480.0
47.0,Male,Master's,VP of Finance,19.0,200000.0,2.35,361.0,2209.0,893.0
29.0,Female,Bachelor's,Graphic Designer,3.0,50000.0,7.25,9.0,841.0,87.0
36.0,Male,Bachelor's,Sales Manager,9.0,95000.0,3.6,81.0,1296.0,324.0
27.0,Female,Master's,UX Researcher,2.0,65000.0,9.0,4.0,729.0,54.0
43.0,Male,PhD,Senior Engineer,17.0,140000.0,2.388888888888889,289.0,1849.0,731.0
